Slot,"เวลา
เริ่มต้น","เวลา
สิ้นสุด","ระยะเวลา
(นาที)","ฝ่ายรับ
ผิดชอบ",กิจกรรม,สถานที่,ผู้ตัดสินใจสูงสุด,ผู้รับผิดชอบ ,รายละเอียด
45,08:21,08:24,3,PLAN,ตั้งแถว ยูไม่หลับ,"โต๊ะบ้าน
ยูไม่หลับ (402 ตึก100): ใต้ตึก 100",เอิน 0993438222,"แผนประจำบ้าน
ยูไม่หลับ - ติว 099-379-9090","- พี่แผนประจำบ้านพาน้องในบ้านของตัวเองให้ตั้งแถวเป็น 4 แถว แถวละ 15 คน บริเวณโต๊ะบ้าน 
- พี่แผนคุมโซนตรวจสอบว่าโซนของตัวเองเริ่มตั้งแถวในเวลาที่กำหนดหรือยัง หากพี่แผนประจำบ้านยังไม่จัดแถว ให้เข้าไปกระตุ้นแผนประจำบ้าน
- ถ้าในโซนนั้นเเต่ละบ้านตั้งเเถวเรียบร้อย พร้อมที่จะไลน์เเล้ว ให้พี่แผนประจำบ้านไลน์แจ้งในกลุ่ม แผนประจำบ้าน ว่า “บ้านxx พร้อม”
- หากบ้านไหนยังไม่พร้อมให้พี่คุมโซนเข้าไปตรวจสอบบ้านนั้นๆ
"
46,08:22,08:22,-,PLAN,line แจ้งให้เริ่มเดิน ยูเอฟโอ,ไลน์กลุ่ม แผนประจำบ้าน,คนิ้ง 0858101505,"พี่คุมโซน
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891","-เมื่อถึงเวลาไลน์แถวให้พี่คุมโซนแจ้งว่าบ้านไหนสามารถเดินได้แล้ว และแจ้งลงในไลน์กลุ่ม แผนประจำบ้าน ว่า “บ้านยูเอฟโอ เริ่มเดิน”
"
47,08:22,08:31,9,PLAN,ไลน์จากโต๊ะบ้านไปหอประชุมตึก 4 ยูเอฟโอ,"โต๊ะบ้าน
ยูเอฟโอ (405 ตึก100): ใต้ตึก 4 → หอประชุมตึก 4",คนิ้ง 0858101505,"แผนประจำบ้าน
ยูเอฟโอ - บุ๊ค 0983651450","วิธีการไลน์
-การไลน์แถวจะเป็นการเริ่มเดินพร้อมกัน 2 บ้าน ให้พี่แผนประจำบ้านไลน์แถวน้องไปหอประชุมตามเส้นทางที่กำหนด โดยจะน้องจะเดินทีละแถวมาต่อท้ายกันจนครบ 4 แถว และเดินคู่ไปกับบ้านข้าง ๆ
-หรือในกรณีบางบ้านที่ไม่ได้เดินพร้อมกัน 2 บ้าน ให้พี่แผนประจำบ้านไลน์แถวน้องไปหอประชุมตามเส้นทางที่กำหนด โดยจะน้องจะเดินทีละแถวมาต่อท้ายกันจนครบ 4 แถว เป็นแถวเดี่ยวยาว
-ในการเดินไปหอประชุมให้พี่แผนประจำบ้านนำหัวแถว 1 คน ปิดท้ายแถว 1 คน และอยู่ตรงกลางแถว 1 คน

เส้นทางการไลน์
-ยูเอฟโอ (405 ตึก100): ใต้ตึก 4  → ประตูหลังตึก 4 → ลิฟต์ตึก 4 → หอประชุมตึก 4
"
48,08:23,08:35,12,PLAN,จัดน้องนั่งในหอประชุมตึก 3,หอประชุมตึก 3,น้ำพั้นซ์ 0924988979,แผนประจำบ้านทุกบ้าน,"- เมื่อถึงหอประชุมให้พี่แผนประจำบ้าน 1 คนที่ถือธงอยู่ เดินเข้าไปด้านในสุดของที่นั่งแล้วชี้ให้น้องเริ่มนั่งที่เก้าอี้ตัวแรก
- พี่แผนประจำบ้านที่เหลือช่วยกันนับน้องเข้าไปเป็นเซ็ท ๆ ตามจำนวนของเก้าอี้ในแถวนั้น ๆ โดยเว้นที่นั่งที่ชำรุดเอาไว้ เพื่อเข้าที่นั่ง
- เมื่อพี่แผนประจำบ้านจัดน้องลงที่นั่งของตนเองเรียบร้อยแล้ว ให้ออกจากหอประชุมทั้งหมด
"
49,08:23,08:23,-,PLAN,"line แจ้งให้เริ่มเดิน set2: ยูต่อ, ยูวี, ยูนิคอร์น, ยูเชื่อบ่, ยูในใจ",ไลน์กลุ่ม แผนประจำบ้าน,น้ำพั้นซ์ 0924988979,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979","-เมื่อถึงเวลาไลน์แถวให้พี่คุมโซนแจ้งว่าบ้านไหนสามารถเดินได้แล้ว และแจ้งลงในไลน์กลุ่ม แผนประจำบ้าน ว่า “บ้านยูต่อ, ยูวี, ยูนิคอร์น, ยูเชื่อบ่, ยูในใจ เริ่มเดิน”"
50,08:23,08:31,8,PLAN,"ไลน์จากโต๊ะบ้านไปหอประชุมตึก 3 set2: ยูในใจ, ยูเชื่อบ่, ยูต่อ, ยูนิคอร์น, ยูวี","โต๊ะบ้าน set2 → หอประชุมตึก 3
ยูในใจ (301+304 ตึก3): ที่ราบสูง → ประตูฝั่งป้ายคณะ
ยูเชื่อบ่ (409 ตึก3): ลานชาไทย → ประตูฝั่งป้ายคณะ
ยูต่อ (401+402 ตึก3): ลานเกียร์ → ประตูหอประชุมชั้น 2 
ยูนิคอร์น (401 ตึก100): ลานหน้าห้องกิจ → ประตูฝั่งตึก 2
ยูวี (502 ตึก100): ลานเกียร์ → ประตูฝั่งตึก 2",น้ำพั้นซ์ 0924988979,"แผนประจำบ้าน
ยูต่อ - พูม 0834272638
ยูวี - ปาล์ม 0915205144
ยูนิคอร์น - เกมส์ 0931242433
ยูเชื่อบ่ - ฟ้า 0879860004
ยูในใจ - ฟลุ๊ค 0923315337","วิธีการไลน์
-การไลน์แถวจะเป็นการเริ่มเดินพร้อมกัน 2 บ้าน ให้พี่แผนประจำบ้านไลน์แถวน้องไปหอประชุมตามเส้นทางที่กำหนด โดยจะน้องจะเดินทีละแถวมาต่อท้ายกันจนครบ 4 แถว และเดินคู่ไปกับบ้านข้าง ๆ
-หรือในกรณีบางบ้านที่ไม่ได้เดินพร้อมกัน 2 บ้าน ให้พี่แผนประจำบ้านไลน์แถวน้องไปหอประชุมตามเส้นทางที่กำหนด โดยจะน้องจะเดินทีละแถวมาต่อท้ายกันจนครบ 4 แถว เป็นแถวเดี่ยวยาว
-ในการเดินไปหอประชุมให้พี่แผนประจำบ้านนำหัวแถว 1 คน ปิดท้ายแถว 1 คน และอยู่ตรงกลางแถว 1 คน

เส้นทางการไลน์
-ยูในใจ (301+304 ตึก3): ที่ราบสูง → ประตูฝั่งป้ายคณะ
-ยูเชื่อบ่ (409 ตึก3): ลานชาไทย → ประตูฝั่งป้ายคณะ
-ยูต่อ (401+402 ตึก3): ลานเกียร์ → บันไดเกียร์ขาว → บันไดกลาง → ชั้น 2 → ประตูหอประชุมชั้น 2 
-ยูนิคอร์น (401 ตึก100): ลานหน้าห้องกิจ → ประตูฝั่งตึก 2
-ยูวี (502 ตึก100): ลานเกียร์ → ประตูฝั่งตึก 2
"
51,08:23,08:27,4,PLAN,"ตั้งแถว set3: ยูไม่ตอบ, ยูว้อน, ยูเทิร์น, ยูไฟเยอร์","โต๊ะบ้าน set3
ยูไม่ตอบ (315-6 ตึก3) - icanteen ชั้น 1
ยูว้อน (415-6 ตึก3) - icanteen ชั้น 1
ยูเทิร์น (504 ตึก100) - ใต้ตึก 100
ยูไฟเยอร์ (505 ตึก100) - ใต้ตึก 100",เอิน 0993438222,"แผนประจำบ้าน
ยูไม่ตอบ - วิน 0942313119
ยูว้อน - มิน 0946709494
ยูเทิร์น - ก๊วง 0971318887
ยูไฟเยอร์ - กัณฑ์ 0839804521","- พี่แผนประจำบ้านพาน้องในบ้านของตัวเองให้ตั้งแถวเป็น 4 แถว แถวละ 15 คน บริเวณโต๊ะบ้าน 
- พี่แผนคุมโซนตรวจสอบว่าโซนของตัวเองเริ่มตั้งแถวในเวลาที่กำหนดหรือยัง หากพี่แผนประจำบ้านยังไม่จัดแถว ให้เข้าไปกระตุ้นแผนประจำบ้าน
- ถ้าในโซนนั้นเเต่ละบ้านตั้งเเถวเรียบร้อย พร้อมที่จะไลน์เเล้ว ให้พี่แผนประจำบ้านไลน์แจ้งในกลุ่ม แผนประจำบ้าน ว่า “บ้านxx พร้อม”
- หากบ้านไหนยังไม่พร้อมให้พี่คุมโซนเข้าไปตรวจสอบบ้านนั้นๆ"
52,08:24,08:24,-,PLAN,line แจ้งให้เริ่มเดิน ยูโร่,ไลน์กลุ่ม แผนประจำบ้าน,คนิ้ง 0858101505,"พี่คุมโซน
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891","-เมื่อถึงเวลาไลน์แถวให้พี่คุมโซนแจ้งว่าบ้านไหนสามารถเดินได้แล้ว และแจ้งลงในไลน์กลุ่ม แผนประจำบ้าน ว่า “บ้านยูโร่ เร่ิมเดิน”
"
53,08:24,08:33,9,PLAN,ไลน์จากโต๊ะบ้านไปหอประชุมตึก 4 ยูโร่,"โต๊ะบ้าน → หอประชุมตึก 4
ยูโร่ (404 ตึก100): ใต้ตึก 4  → หอประชุมตึก 4
",คนิ้ง 0858101505,"แผนประจำบ้าน
ยูโร่ - เก้า 0972562686","วิธีการไลน์
-การไลน์แถวจะเป็นการเริ่มเดินพร้อมกัน 2 บ้าน ให้พี่แผนประจำบ้านไลน์แถวน้องไปหอประชุมตามเส้นทางที่กำหนด โดยจะน้องจะเดินทีละแถวมาต่อท้ายกันจนครบ 4 แถว และเดินคู่ไปกับบ้านข้าง ๆ
-หรือในกรณีบางบ้านที่ไม่ได้เดินพร้อมกัน 2 บ้าน ให้พี่แผนประจำบ้านไลน์แถวน้องไปหอประชุมตามเส้นทางที่กำหนด โดยจะน้องจะเดินทีละแถวมาต่อท้ายกันจนครบ 4 แถว เป็นแถวเดี่ยวยาว
-ในการเดินไปหอประชุมให้พี่แผนประจำบ้านนำหัวแถว 1 คน ปิดท้ายแถว 1 คน และอยู่ตรงกลางแถว 1 คน

เส้นทางการไลน์
-ยูโร่ (404 ตึก100): ใต้ตึก 4  → ประตูหลังตึก 4 → ลิฟต์ตึก 4 → หอประชุมตึก 4
"
54,08:24,08:24,-,PLAN,line แจ้งให้เริ่มเดิน ยูไม่หลับ,ไลน์กลุ่ม แผนประจำบ้าน,คนิ้ง 0858101505,"พี่คุมโซน
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 100 - โอ๊ค 0902156600
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891",-เมื่อถึงเวลาไลน์แถวให้พี่คุมโซนแจ้งว่าบ้านไหนสามารถเดินได้แล้ว และแจ้งลงในไลน์กลุ่ม แผนประจำบ้าน ว่า “บ้านยูไม่หลับ เริ่มเดิน”
55,08:24,08:35,11,PLAN,ไลน์จากโต๊ะบ้านไปหอประชุมตึก 4 ยูไม่หลับ,"โต๊ะบ้าน → หอประชุมตึก 4
ยูไม่หลับ (402 ตึก100): ใต้ตึก 100 → หอประชุมตึก 4",คนิ้ง 0858101505,"แผนประจำบ้าน
ยูไม่หลับ - ติว 099-379-9090","วิธีการไลน์
-การไลน์แถวจะเป็นการเริ่มเดินพร้อมกัน 2 บ้าน ให้พี่แผนประจำบ้านไลน์แถวน้องไปหอประชุมตามเส้นทางที่กำหนด โดยจะน้องจะเดินทีละแถวมาต่อท้ายกันจนครบ 4 แถว และเดินคู่ไปกับบ้านข้าง ๆ
-หรือในกรณีบางบ้านที่ไม่ได้เดินพร้อมกัน 2 บ้าน ให้พี่แผนประจำบ้านไลน์แถวน้องไปหอประชุมตามเส้นทางที่กำหนด โดยจะน้องจะเดินทีละแถวมาต่อท้ายกันจนครบ 4 แถว เป็นแถวเดี่ยวยาว
-ในการเดินไปหอประชุมให้พี่แผนประจำบ้านนำหัวแถว 1 คน ปิดท้ายแถว 1 คน และอยู่ตรงกลางแถว 1 คน

เส้นทางการไลน์
-ยูไม่หลับ (402 ตึก100): ใต้ตึก 100 → บันไดหลังตึก100 → ใต้ตึก 4 → ประตูหลังตึก 4 → ลิฟต์ตึก 4 → หอประชุมตึก 4"
56,08:26,08:35,9,PLAN,จัดน้องนั่งในหอประชุมตึก 4,หอประชุมตึก 4,คนิ้ง 0858101505,แผนประจำบ้านทุกบ้าน,"-เมื่อถึงหอประชุมให้พี่แผนประจำบ้าน 1 คนที่ถือธงอยู่ เดินเข้าไปตรงกลางหอประชุมในโซนที่นั่งของตัวเองแล้วชี้ให้น้องเริ่มนั่งที่เก้าอี้ตัวนี้
-ให้พี่แผนประจำบ้าน 1 คน ในแต่ละบ้านประจำจุดตามดาวสีแดงที่markไว้เพื่อกำหนดที่นั่งสุดท้ายของบ้านตนเอง
-ให้แผนประจำบ้านที่เหลือนับจำนวนน้องเข้ามาเป็นแถวแถวละ 10-13 คนให้พอดีกับที่นั่ง
-เมื่อพี่แผนประจำบ้านจัดน้องลงที่นั่งของตนเองเรียบร้อยแล้ว ให้ออกจากหอประชุมทั้งหมด
"
57,08:27,08:27,-,PLAN,"line แจ้งให้เริ่มเดิน set3: ยูไม่ตอบ, ยูว้อน, ยูเทิร์น, ยูไฟเยอร์",ไลน์กลุ่ม แผนประจำบ้าน,น้ำพั้นซ์ 0924988979,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 100 - โอ๊ค 0902156600","-เมื่อถึงเวลาไลน์แถวให้พี่คุมโซนแจ้งว่าบ้านไหนสามารถเดินได้แล้ว และแจ้งลงในไลน์กลุ่ม แผนประจำบ้าน ว่า “บ้าน ยูไม่ตอบ, ยูว้อน, ยูเทิร์น, ยูไฟเยอร์ เริ่มเดิน”
"
58,08:27,08:35,8,PLAN,"ไลน์จากโต๊ะบ้านไปหอประชุมตึก 3 set3: ยูไม่ตอบ, ยูว้อน, ยูเทิร์น, ยูไฟเยอร์","โต๊ะบ้าน set3 → หอประชุมตึก 3
ยูไม่ตอบ (315-6 ตึก3): ลานชาไทย → ประตูฝั่งป้ายคณะ
ยูว้อน (415-6 ตึก3): ข้างตึกอรุณ → ประตูฝั่งป้ายคณะ
ยูเทิร์น (504 ตึก100): ใต้ตึก 100 → ประตูฝั่งป้ายคณะ
ยูไฟเยอร์ (505 ตึก100):ใต้ตึก 100 → ประตูฝั่งป้ายคณะ",น้ำพั้นซ์ 0924988979,"แผนประจำบ้าน
ยูไม่ตอบ - วิน 0942313119
ยูว้อน - มิน 0946709494
ยูเทิร์น - ก๊วง 0971318887
ยูไฟเยอร์ - กัณฑ์ 0839804521","วิธีการไลน์
-การไลน์แถวจะเป็นการเริ่มเดินพร้อมกัน 2 บ้าน ให้พี่แผนประจำบ้านไลน์แถวน้องไปหอประชุมตามเส้นทางที่กำหนด โดยจะน้องจะเดินทีละแถวมาต่อท้ายกันจนครบ 4 แถว และเดินคู่ไปกับบ้านข้าง ๆ
-หรือในกรณีบางบ้านที่ไม่ได้เดินพร้อมกัน 2 บ้าน ให้พี่แผนประจำบ้านไลน์แถวน้องไปหอประชุมตามเส้นทางที่กำหนด โดยจะน้องจะเดินทีละแถวมาต่อท้ายกันจนครบ 4 แถว เป็นแถวเดี่ยวยาว
-ในการเดินไปหอประชุมให้พี่แผนประจำบ้านนำหัวแถว 1 คน ปิดท้ายแถว 1 คน และอยู่ตรงกลางแถว 1 คน

เส้นทางการไลน์
-ยูไม่ตอบ (315-6 ตึก3): ลานชาไทย → ประตูฝั่งป้ายคณะ
-ยูว้อน (415-6 ตึก3): ข้างตึกอรุณ → ประตูฝั่งป้ายคณะ
-ยูเทิร์น (504 ตึก100): ใต้ตึก 100 → บันได100เกียร์ → ประตูฝั่งป้ายคณะ
-ยูไฟเยอร์ (505 ตึก100):ใต้ตึก 100 → บันได100เกียร์ → ประตูฝั่งป้ายคณะ"
59,08:30,08:45,15,ENT,MC ชวนน้องคุย, หอประชุมตึก 3,เอมี่ 0885015035,"mc ent
เลม่อน ซันซัน
timer ฝ้าย: 096-879-8450",
60,08:32,08:32,-,PLAN,stand by พี่สาย,โต๊ะทะเบียนกลาง (หน้าห้อง 116/3 ตึก3),ออง 0968388878,"พี่สาย
หอประชุมตึก 3 ฝั่งป้ายคณะ - ลูกพลับ 0948198008
หอประชุมตึก 3 ฝั่งตึก 2 - โอ๊ค 0902156600
หอประชุมตึก 3 ชั้น 2 - เฟิร์ส 0856638891
หอประชุมตึก 4 - ไจ๋ 0958044441","- นัดพี่สายทุกคนที่โต๊ะทะเบียนกลาง
- หากพี่สายคนไหนยังไม่มาให้ ผต. โทรตาม"
61,08:35,08:42,7,PLAN,ไลน์น้องสายจากทะเบียนกลางไปหอประชุมตึก 4 รอบ 1,โต๊ะทะเบียนกลาง (หน้าห้อง 116/3 ตึก3) → ประตูหอประชุมตึก 4,ออง 0968388878,"พี่สาย
หอประชุมตึก 4 - ไจ๋ 0958044441","-พี่สายไลน์น้องไปหอประชุมตึก 4 ตามเส้นทางที่กำหนด โดยการไลน์น้องจะมีพี่สาย 1 คนนำหัวแถวด้านหน้า และ 1 คนปิดท้ายแถว 
-พี่สายไลน์น้องขึ้นลิฟต์ 6 ตัว ตัวละ 15 - 20 คน เมื่อถึงชั้น 2 ให้ไลน์น้องไปที่หอประชุม
"
62,08:35,08:37,2,PLAN,ไลน์น้องสายจากทะเบียนกลางไปหอประชุมตึก 3 รอบ 1,โต๊ะทะเบียนกลาง (หน้าห้อง 116/3 ตึก3) → ประตูหอประชุมตึก 3,ออง 0968388878,"พี่สาย
หอประชุมตึก 3 ฝั่งป้ายคณะ - ลูกพลับ 0948198008
หอประชุมตึก 3 ฝั่งตึก 2 - โอ๊ค 0902156600
หอประชุมตึก 3 ชั้น 2 - เฟิร์ส 0856638891","-พี่สายจัดน้องเป็นแถวเดี่ยว 1 แถว ให้พี่สายพาน้องไป stand by ที่ประตูชั้นของตนเอง โดยการไลน์น้องจะมีพี่สาย 1 คนนำหัวแถวด้านหน้า 
กลุ่ม 1: หอประชุมตึก 3 ฝั่งป้ายคณะ
กลุ่ม 2: หอประชุมตึก 3 ฝั่งตึก 2
กลุ่ม 3: หอประชุมตึก 3 ชั้น 2

เส้นทางการไลน์น้องสาย
กลุ่ม 1: 116/3 โถงตึก 3 → ประตูฝั่งป้ายคณะ
กลุ่ม 2: 116/3 โถงตึก 3 → ประตูเกียรติ → ประตูฝั่งตึก 2 → หอประชุมตึก 3 ชั้น 1
กลุ่ม 3: 116/3 โถงตึก 3 → บันไดกลาง → หอประชุมตึก 3 ชั้น 2"
63,08:35,08:45,10,ENT,MC ชวนน้องคุย,หอประชุมตึก 4,ลิปดา 0816655241,"mc ent
แซนต้า ฟลุ้ค
timer กฤต 095-250-0559",
64,08:37,08:42,5,PLAN,ไลน์น้องสายหอประชุมตึก 3 เข้าที่นั่ง รอบ 1,หอประชุมตึก 3,ออง 0968388878,"พี่สาย
หอประชุมตึก 3 ฝั่งป้ายคณะ - ลูกพลับ 0948198008
หอประชุมตึก 3 ฝั่งตึก 2 - โอ๊ค 0902156600
หอประชุมตึก 3 ชั้น 2 - เฟิร์ส 0856638891","-พี่สายไลน์แถวน้องสายเข้าไปส่งในแต่ละบ้านตามเส้นทางที่กำหนด
-เมื่อส่งน้องเสร็จเรียบร้อยแล้วให้ออกจากหอประชุม"
65,08:40,08:40,-,PLAN,น้องทุกคนประจำที่หอประชุม,หอประชุมตึก 3,น้ำพั้นซ์ 0924988979,น้ำพั้นซ์ 0924988979,- น้องทุกคนประจำที่หอประชุมเรียบร้อย
66,08:40,08:40,-,PLAN,น้องทุกคนประจำที่หอประชุม,หอประชุมตึก 4,คนิ้ง 0858101505,คนิ้ง 0858101505,- น้องทุกคนประจำที่หอประชุมเรียบร้อย
67,08:42,08:45,3,PLAN,ไลน์น้องสายหอประชุมตึก 4 เข้าที่นั่ง รอบ 1,หอประชุมตึก 4 ,ออง 0968388878,"พี่สาย
หอประชุมตึก 4 - ไจ๋ 0958044441","-เมื่อ doorman แจ้งว่าพร้อม ให้พี่สายไลน์แถวน้องสายเข้าไปส่งในแต่ละบ้านตามเส้นทางที่กำหนด 
-เมื่อส่งน้องเสร็จเรียบร้อยแล้วให้ออกจากหอประชุม
"
68,08:42,09:13,31,PLAN,รับน้องสายหอประชุมตึก 3 ที่โต๊ะทะเบียนกลาง รอบ 2,โต๊ะทะเบียนกลาง (หน้าห้อง 116/3 ตึก3),ออง 0968388878,"พี่สาย
หอประชุมตึก 3 ฝั่งป้ายคณะ - ลูกพลับ 0948198008
หอประชุมตึก 3 ฝั่งตึก 2 - โอ๊ค 0902156600
หอประชุมตึก 3 ชั้น 2 - เฟิร์ส 0856638891","-พี่สายรับน้องที่โต๊ะทะเบียนกลางแล้วแยกน้องออกเป็น 3 กลุ่ม
กลุ่ม 1: หอประชุมตึก 3 ฝั่งป้ายคณะ
กลุ่ม 2: หอประชุมตึก 3 ฝั่งตึก 2
กลุ่ม 3: หอประชุมตึก 3 ชั้น 2"
69,08:42,08:47,5,ENT,stand by คณบดี, หอประชุมตึก 3,เอมี่ 0885015035,"ท่านคณะบดี
timer ฝ้าย: 096-879-8450",
70,08:45,09:10,25,PLAN,รับน้องสายหอประชุมตึก 4 ที่โต๊ะทะเบียนกลาง รอบ 2,โต๊ะทะเบียนกลาง (หน้าห้อง 116/3 ตึก3),ออง 0968388878,"พี่สาย
หอประชุมตึก 4 - ไจ๋ 0958044441",-พี่สายรับน้องที่โต๊ะทะเบียนกลางแล้วจัดน้องเป็นแถวเดี่ยว 1 แถว
71,08:45,08:45,-,PLAN,stand by พี่กัน,หอประชุมตึก 3,มีน 0802947701,"พี่กัน
โถงตึก 3 ชั้น 1 - น้ำพั้นซ์ 0924988979
โถงตึก 3 ชั้น 2 - มีน 0802947701
ประตูเกียรติ - เอิน 0993438222",-ยืนเฝ้าจุดที่เห็นทางเดินและห้องน้ำ เพื่อลดโอกาสน้องหนี
72,08:45,08:45,-,PLAN,stand by พี่กัน,หอประชุมตึก 4,ฟ้าแผน 0930055788,"พี่กัน
หอประชุมตึก 4 - ฟ้าแผน 0930055788",-ยืนเฝ้าจุดที่เห็นทางเดินและห้องน้ำ เพื่อลดโอกาสน้องหนี
73,08:45,08:47,2,ENT,mc พิธีการ พูดเปิด, หอประชุมตึก 3,เอมี่ 0885015035,"mc พิธีการ
ปั๊น บุ๋น
timer ฝ้าย: 096-879-8450",
74,08:45,08:47,2,ENT,mc พิธีการ,หอประชุมตึก 4,ลิปดา 0816655241,"mc พิธีการ 
คิม รักกัน
timer กฤต 095-250-0559",
75,08:47,09:00,13,ENT,เปิดพิธีการ คณบดี ประธาน, หอประชุมตึก 3,เอมี่ 0885015035,"ท่านคณะบดี
timer ฝ้าย: 096-879-8450",
76,08:50,08:50,-,PLAN,stand by พี่ซิ่ง,หอประชุมตึก 3,เอิน 0993438222,"พี่ซิ่ง
เอิน 099-343-8222",- พี่ซิ่งประจำตำแหน่งอยู่ที่หน้าประตูหอประชุมตึก 4
77,08:57,09:00,3,ENT,รองประธานค่าย,หอประชุมตึก 4,ลิปดา 0816655241,"ปธค่ายบูม: 
timer กฤต 095-250-0559",
78,09:00,09:07,7,PLAN,พาคณบดีเดินจากหอประชุมตึก 3 ไปหอประชุมตึก 4,หอประชุมตึก 3 → หอประชุมตึก 4,เอิน 0993438222,"พี่ซิ่ง
เอิน 099-343-8222","- พี่ซิ่งไลน์คณบดีจากหอประชุมตึก 3 ไปที่หอประชุมตึก 4
- หอประชุมตึก 3 → ประตูฝั่งป้ายคณะ → ลานเกียร์ → ใต้ตึก 100 → ใต้ตึก 4 → ลิฟต์ตึก 4 → หอประชุมตึก 4"
79,09:00,09:07,7,ENT,mc พิธีการ, หอประชุมตึก 3,เอมี่ 0885015035,"ท่านคณะบดี
timer ฝ้าย: 096-879-8450",
80,09:00,09:07,7,ENT,mc พิธีการ,หอประชุมตึก 4,ลิปดา 0816655241,"mc พิธีการ 
คิม รักกัน
timer กฤต 095-250-0559",
81,09:00,09:30,30,WELFARE,นัดสวัสดิบ้านมารับน้ำและถุงขยะช่วงเช้า,ห้องฝ่ายพัสดุ (204 ตึก 3),ไนท์ 0858292878,"ก้อง 0813184242
เชอร์รี่ 0852589212",-แจกปากกาไปเขียนป้ายชื่อที่ขวดน้ำ ถุงขยะ
82,09:00,10:00,60,REG,check ชื่อพี่สาย,ห้องฝ่ายทะเบียน (116/3 ตึก3),ซี 0897743331,ซี 0897743330,"-ทะเบียนกลางcheckชื่อพี่ทั้งหมด
-ตรวจ ATK พี่บ้านทั้งหมดที่ตรงโต๊ะทะเบียน
-แจกป้ายชื่อ
-ถ้าน้องมาเช็คชื่อน้องก่อน"
83,09:05,09:07,2,ENT,stand by คณบดี,หอประชุมตึก 4,ลิปดา 0816655241,"ท่านคณบดี
timer กฤต 095-250-0559",
84,09:07,09:10,3,ENT,รองประธานค่าย, หอประชุมตึก 3,เอมี่ 0885015035,"mc พิธีการ
ปั๊น บุ๋น
timer ฝ้าย: 096-879-8450",
85,09:07,09:20,13,ENT,เปิดพิธีการ คณบดี ประธาน,หอประชุมตึก 4,ลิปดา 0816655241,"ท่านคณบดี
timer กฤต 095-250-0559",
86,09:10,09:17,7,PLAN,ไลน์น้องสายจากทะเบียนกลางไปหอประชุมตึก 4 รอบ 2,โต๊ะทะเบียนกลาง (หน้าห้อง 116/3 ตึก3) → ประตูหอประชุมตึก 4,ออง 0968388878,"พี่สาย
หอประชุมตึก 4 - ไจ๋ 0958044441","-พี่สายไลน์น้องไปหอประชุมตึก 4 ตามเส้นทางที่กำหนด โดยการไลน์น้องจะมีพี่สาย 1 คนนำหัวแถวด้านหน้า และ 1 คนปิดท้ายแถว 
-พี่สายไลน์น้องขึ้นลิฟต์ 6 ตัว ตัวละ 15 - 20 คน เมื่อถึงชั้น 2 ให้ไลน์น้องไปที่หอประชุม
"
87,09:10,09:20,10,ENT,mc พิธีการ, หอประชุมตึก 3,เอมี่ 0885015035,"mc พิธีการ
timer ฝ้าย: 096-879-8450",
88,09:13,09:15,2,PLAN,ไลน์น้องสายจากทะเบียนกลางไปหอประชุมตึก 3 รอบ 2,โต๊ะทะเบียนกลาง (หน้าห้อง 116/3 ตึก3) → ประตูหอประชุมตึก 3,ออง 0968388878,"พี่สาย
หอประชุมตึก 3 ฝั่งป้ายคณะ - ลูกพลับ 0948198008
หอประชุมตึก 3 ฝั่งตึก 2 - โอ๊ค 0902156600
หอประชุมตึก 3 ชั้น 2 - เฟิร์ส 0856638891","-พี่สายจัดน้องเป็นแถวเดี่ยว 1 แถว ให้พี่สายพาน้องไป stand by ที่ประตูชั้นของตนเอง โดยการไลน์น้องจะมีพี่สาย 1 คนนำหัวแถวด้านหน้า 
กลุ่ม 1: หอประชุมตึก 3 ฝั่งป้ายคณะ
กลุ่ม 2: หอประชุมตึก 3 ฝั่งตึก 2
กลุ่ม 3: หอประชุมตึก 3 ชั้น 2

เส้นทางการไลน์น้องสาย
กลุ่ม 1: 116/3 โถงตึก 3 → ประตูฝั่งป้ายคณะ
กลุ่ม 2: 116/3 โถงตึก 3 → ประตูเกียรติ → ประตูฝั่งตึก 2 → หอประชุมตึก 3 ชั้น 1
กลุ่ม 3: 116/3 โถงตึก 3 → บันไดกลาง → หอประชุมตึก 3 ชั้น 2"
