slot,"เวลา
เริ่มต้น","เวลา
สิ้นสุด","ระยะเวลา
(นาที)",ฝ่ายรับผิดชอบ,กิจกรรม,สถานที่,ผู้ตัดสินใจสูงสุด,ผู้รับผิดชอบ ,รายละเอียด
83,08:10,08:10,-,PLAN,แจ้งMCว่าน้องเรียบร้อยแล้ว,หอประชุม,พั้นซ์ 0924988979,พั้นซ์ 0924988979,
84,8:10,08:40,30,REG,"ทะเบียนกลางเช็กชื่อน้อง 
(น้องรอจนพิธีเปิดเสร็จ ถึงจะเข้าหอประชุมได้)",หน้าห้อง 116/3,แองจี้ 0635914155,"แองจี้ 0635914155
โอเว่น 0918813478
รัน 0818753500
กฤษฏิ์ 0819598383
เจิ้ง 091903579
แมทธิว 0896818877",
86,08:15,08:15,-,COOP,ปิด จุดป้ายคณะ,ป้ายคณะ,เนม (0988729227),เนม (0988729227),
86,08:20,08:30,10,PLAN,เช็กห้องน้ำ,"ห้องน้ำตึก 3 ชั้น 1,2
(ห้องน้ำตึก 3 ชั้น 3 สำรอง)",พั้นซ์ 0924988979,"นัท (ชาย)       0917146413
แนน (หญิง)     0613956058
","- เช็กว่าห้องน้ำเปิดไหม
- ห้องน้ำใช้งานได้ไหม ถ้าพังแจ้งใน lineแผนแจ้งข่าว ฝ่ายแผน (ถ้าห้องน้ำพังให้ผต.แจ้งฝ่ายสถานที่)
- เปิดไฟให้หร้อมใช้งาน
- เมื่อตรวจสอบเสร็จแล้วให้แจ้งใน lineแผนแจ้งข่าว ฝ่ายแผนว่า ""ตรวจสอบห้องน้ำตึก 3 ชั้น 1 เรียบร้อย""
- เมื่อตรวจสอบเสร็จแล้วให้กลับมาที่หน้าห้องประชุม ฝั่งประตูป้ายคณะ"
87,08:30,09:00,30,SUPPLY,เตรียมความพร้อมห้องบ้าน/ห้องฝ่าย,อาคาร 3,โบอิ้ง 0958948965,สวัสและสวัสบ้าน,"ตรวจสอบและเก็บกวาดขยะในห้องบ้านก่อนน้องเข้าบ้าน + วางถุงขยะสำหรับแยกขยะใบใหม่บริเวณหน้าห้องบ้านและห้องฝ่าย
(หน้าที่ สวัสบ้านสำหรับห้องบ้าน | ฝ่ายสวัสดิการสำหรับห้องฝ่ายย่อยและฝ่ายหลัก)"
88,08:30,09:30,60,SUPPLY,รับน้ำดื่มและขนมสำหรับแต่ละบ้านและฝ่ายย่อย,315,โบอิ้ง 0958948965,เนเน่ 0926545141,แต่ละบ้านและฝ่ายย่อยส่งตัวแทนมารับน้ำสำหรับแต่ละวันที่ห้อง 315 
89,08:35,08:40,5,PLAN,ไลน์น้องสายไปประตูตึก 2 (รอบที่ 1),หอประชุม,เติ้ล 0897991699,"ปิงปิง 0851119544
อ๋อง 0915553919",- พี่รับน้องสายคนที่ 1 ไลน์น้องไปที่ประตูตึก 2 ส่วนอีกคนรออยู่ที่ทะเบียน
90,08:40,08:50,10,PLAN,พาน้องที่มาสายเข้าหอประชุม (รอบที่ 1),หอประชุม,เติ้ล 0897991699,"ปิงปิง 0851119544
อ๋อง 0915553919","- พี่รับน้องสายคนที่ 2 ไลน์น้องที่ตกค้างไปที่ประตูตึก 2
- พี่แผนรับน้องสายพาน้องจากประตูตึก 2 เข้าหอประชุม
- วนทางเดินรอบหอประชุมตามเข็มนาฬิกาเพื่อส่งน้อง (ดูแผนที่นั่งให้ดี ส่งเสร็จแล้วอัพเดตแผนที่นั่งด้วย) โดยเริ่มที่บ้านไอคัท→ไอค๊อกแค๊ก→ไอรอเธอ→ไอเพื่อน→ไอแดง→ไอน์สไตน์→ไอแฟนยู→ไอจาม ตามลำดับ และออกประตูป้ายคณะ 
- พี่รับน้องสายกลับไปประจำที่โต๊ะทะเบียนที่เดิม"
91,08:40,08:50,10,PLAN,น้องเข้าห้องน้ำ (รอบที่ 1),หอประชุม,พั้นซ์ 0924988979,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
แนน - 0613956058(ฉุกเฉิน)
ณัฐ - 0917146413(ฉุกเฉิน)

","- พี่แผนประจำบ้านนับและจดจำนวนน้องชาย หญิง ในบ้านว่าไปจำนวนเท่าไหร่
- พี่แผนประจำบ้านพาน้องเดินออกมาตั้งแถวหน้าประตูฝั่งป้ายคณะ (ห้ามเดินผ่านบันไดกลางตั้งฉากกับเวที และ ทางเดินหน้าเวที)
- ผต จะเป็นคนกำหนดว่าบ้านไหนจะได้เข้าห้องน้ำชั้นไหนในช่วงเวลานั้น
- พี่แผนประจำบ้านพาน้องเข้าห้องน้ำตามชั้นที่ ผต เป็นคนกำหนด
- พี่แผนประจำบ้านรอน้องบ้านตัวเองเข้าห้องน้ำจนครบ แล้วจึงพากลับหอประชุม

กรณีที่มีน้องอยากเข้าห้องน้ำเพิ่มตอนที่พี่แผนประจำบ้านไม่อยู่(ฉุกเฉิน)
- กรณีนี้ขอให้น้องจำเป็นที่จะต้องเข้าห้องน้ำจริงๆเท่านั้น(น้องลุกมาขอเข้าห้องน้ำด้วยตัวเอง)
- จะมีพี่ห้องน้ำชาย 1 คน หญิง 1 คน standby รอรับน้องอยู่หน้าประตูฝั่งป้ายคณะ 
- ให้พี่บ้าน(ประสาน)พาน้องไปส่งที่ประตูฝั่งป้ายคณะ แล้วส่งให้พี่ห้องน้ำที่รออยู่หน้าประตู เมื่อส่งเสร็จให้พี่บ้านรออยู่หน้าประตูเพื่อรอน้องกลับ
- พี่ห้องน้ำพาน้องไปเข้าห้องน้ำที่ใกล้ และ คนน้อยที่สุด จากนั้นจึงพาน้องกลับมาส่งให้พี่บ้าน"
92,8:40,09:30,50,REG,"น้องเข้าหอประชุม ทะเบียนกลาง
เช็กชื่อจนถึงเวลาปิดจุด",หน้าห้อง 116/3,แองจี้ 0635914155,"แองจี้ 0635914155
โอเว่น 0918813478
รัน 0818753500
กฤษฏิ์ 0819598383
เจิ้ง 091903579
แมทธิว 0896818877","น้องที่มาช่วง 08:50 - 09:20 น้องจะต้องรอที่หน้าห้อง 116/3 ก่อน
น้องที่มาช่วง 09:20 - 09:35 น้องจะต้องรอที่หน้าห้อง 116/3 ก่อน"
93,09:15,09:20,5,PLAN,ไลน์น้องสายไปประตูตึก 2 (รอบที่ 2),หอประชุม,พั้นซ์ 0924988979,"ปิงปิง 0851119544
อ๋อง 0915553919",- พี่รับน้องสายคนที่ 1 ไลน์น้องไปที่ประตูตึก2 ส่วนอีกคนรออยู่ที่ทะเบียน
94,09:20,09:30,10,PLAN,พาน้องที่มาสายเข้าหอประชุม (รอบที่ 2),หอประชุม,เติ้ล 0897991699,"ปิงปิง 0851119544
อ๋อง 0915553919","- พี่รับน้องสายคนที่ 2 ไลน์น้องที่ตกค้างไปที่ประตูตึก 2
- พี่แผนรับน้องสายพาน้องจากประตูตึก 2 เข้าหอประชุม
- วนทางเดินรอบหอประชุมตามเข็มนาฬิกาเพื่อส่งน้อง (ดูแผนที่นั่งให้ดี ส่งเสร็จแล้วอัพเดตแผนที่นั่งด้วย) โดยเริ่มที่บ้านไอคัท→ไอค๊อกแค๊ก→ไอรอเธอ→ไอเพื่อน→ไอแดง→ไอน์สไตน์→ไอแฟนยู→ไอจาม ตามลำดับ และออกประตูป้ายคณะ 
- พี่รับน้องสายกลับไปประจำที่โต๊ะทะเบียนที่เดิม"
95,09:20,09:40,20,PLAN,น้องเข้าห้องน้ำ (รอบที่ 2),หอประชุม,พั้นซ์ 0924988979,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
แนน - 0613956058(ฉุกเฉิน)
ณัฐ - 0917146413(ฉุกเฉิน)

","- พี่แผนประจำบ้านนับและจดจำนวนน้องชาย หญิง ในบ้านว่าไปจำนวนเท่าไหร่
- พี่แผนประจำบ้านพาน้องเดินออกมาตั้งแถวหน้าประตูฝั่งป้ายคณะ (ห้ามเดินผ่านบันไดกลางตั้งฉากกับเวที และ ทางเดินหน้าเวที)
- ผต จะเป็นคนกำหนดว่าบ้านไหนจะได้เข้าห้องน้ำชั้นไหนในช่วงเวลานั้น
- พี่แผนประจำบ้านพาน้องเข้าห้องน้ำตามชั้นที่ ผต เป็นคนกำหนด
- พี่แผนประจำบ้านรอน้องบ้านตัวเองเข้าห้องน้ำจนครบ แล้วจึงพากลับหอประชุม

กรณีที่มีน้องอยากเข้าห้องน้ำเพิ่มตอนที่พี่แผนประจำบ้านไม่อยู่(ฉุกเฉิน)
- กรณีนี้ขอให้น้องจำเป็นที่จะต้องเข้าห้องน้ำจริงๆเท่านั้น(น้องลุกมาขอเข้าห้องน้ำด้วยตัวเอง)
- จะมีพี่ห้องน้ำชาย 1 คน หญิง 1 คน standby รอรับน้องอยู่หน้าประตูฝั่งป้ายคณะ 
- ให้พี่บ้าน(ประสาน)พาน้องไปส่งที่ประตูฝั่งป้ายคณะ แล้วส่งให้พี่ห้องน้ำที่รออยู่หน้าประตู เมื่อส่งเสร็จให้พี่บ้านรออยู่หน้าประตูเพื่อรอน้องกลับ
- พี่ห้องน้ำพาน้องไปเข้าห้องน้ำที่ใกล้ และ คนน้อยที่สุด จากนั้นจึงพาน้องกลับมาส่งให้พี่บ้าน"
96,09:30,09:35,5,PLAN,ไลน์น้องสายไปประตูตึก 2 (รอบที่ 3),หอประชุม,เติ้ล 0897991699,"ปิงปิง 0851119544
อ๋อง 0915553919",- พี่รับน้องสายคนที่ 1 ไลน์น้องไปที่ประตูตึก2 ส่วนอีกคนรออยู่ที่ทะเบียน
97,9:30,11:30,120,REG,"ทะเบียนกลาง set 1 ประจำที่
โต๊ะทะเบียนกลาง",หน้าห้อง 116/3,แองจี้ 0635914155,"แองจี้ 0635914155
รัน 0818753500","น้องที่มาหลัง 10 โมง ทะเบียนกลาง
จะประสานทะเบียนบ้านให้มารับไป
ส่งตามที่ต่าง ๆ"
98,09:35,09:40,5,PLAN,พาน้องที่มาสายเข้าหอประชุม (รอบที่ 3),หอประชุม,เติ้ล 0897991699,"ปิงปิง 0851119544
อ๋อง 0915553919","- พี่รับน้องสายคนที่ 2 ไลน์น้องที่ตกค้างไปที่ประตูตึก 2
- พี่แผนรับน้องสายพาน้องจากประตูตึก 2 เข้าหอประชุม
- วนทางเดินรอบหอประชุมตามเข็มนาฬิกาเพื่อส่งน้อง (ดูแผนที่นั่งให้ดี ส่งเสร็จแล้วอัพเดตแผนที่นั่งด้วย) โดยเริ่มที่บ้านไอคัท→ไอค๊อกแค๊ก→ไอรอเธอ→ไอเพื่อน→ไอแดง→ไอน์สไตน์→ไอแฟนยู→ไอจาม ตามลำดับ และออกประตูป้ายคณะ 
- พี่รับน้องสายกลับไปประจำที่โต๊ะทะเบียนที่เดิม"
99,09:35,10:06,31,PLAN,พี่รับน้องสายรอรับน้องที่มาสาย,ทะเบียนกลาง,เติ้ล 0897991699,"ปิงปิง 0851119544
อ๋อง 0915553919","- กรณีน้องมาหลัง 09.35 น. ให้พี่รับน้องมาสายดูแลน้องอยู่ที่ทะเบียน
- พี่รับน้องมาสายแจ้งใน lineแผนแจ้งข่าว ว่าแต่ละบ้านมีน้องมาสายกี่คน
 (ไม่สามารถเข้าหอประชุมได้แล้ว)"
100,09:40,09:50,10,PLAN,เช็กห้องน้ำรอบสุดท้าย (เช็กน้องตกค้าง),"ห้องน้ำตึก 3 ชั้น 1,2
(ห้องน้ำตึก 3 ชั้น 3 สำรอง)",พั้นซ์ 0924988979,"นัท (ชาย)       0917146413
แนน (หญิง)     0613956058
","พี่ห้องน้ำ 4 เช็กน้องตกค้างในห้องน้ำแล้วแจ้งลงใน lineแผนแจ้งข่าว
-กรณีที่มีน้องตกค้าง ให้แจ้งด้วยฟอร์ม ""ห้องน้ำ x มีน้องบ้านไอคัท ตกค้าง x คน""
-กรณีไม่มีน้องตกค้าง ให้แจ้งด้วยฟอร์ม ""ห้องน้ำ x ไม่มีน้องตกค้าง""
เมื่อเช็กห้องน้ำเรียบร้อยแล้วให้พี่ห้องน้ำทำการปิดห้องน้ำ"
102,09:40,09:55,15,COOP,เช็กความพร้อมเปิดบ้าน,"บ้านไอคัท
บ้านไอค๊อกแค๊ก
บ้านไอรอเธอ
บ้านไอแฟนยู
บ้านไอจาม
บ้านไอเพื่อน
บ้านไอแดง
บ้านไอน์สไตน์",ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน B - คุณ 0900725783
            ประสาน C - เหวิน 0826391541
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน B - บูม 0944476075
            ประสาน C - เนม 0988729227
      บ้าน 3 บ้านไอรอเธอ ประสาน B - แบมแบม 0917356085
            ประสาน C - ปิ๊ก 0811499279
บ้าน 4 บ้านไอแฟนยู ประสาน B - ปัด 0954947193
บ้าน 5 บ้านไอจาม ประสาน B - ปัน 0838410404
            ประสาน C - ข้าวหอม 0899397816
บ้าน 6 บ้านไอเพื่อน ประสาน B - เจได 0645954462
            ประสาน C - ปิงปอง 0989838988
บ้าน 7 บ้านไอแดง ประสาน B - เอมี่ 0885015035
            ประสาน C - มังกร 0918515467
บ้าน 8 บ้านไอน์สไตน์ ประสาน B - ปัน 0972987925
            ",ประสาน B + ประสาน C พี่บ้าน set 2 เตรียมเปิดบ้านที่ห้องบ้าน
102,09:45,09:48,3,PLAN,เช็กทางเดิน,เส้นทางไลน์น้อง 3 เส้นทาง,วา 0934427820,"วา 0934427820 
เทน 0851097076 
จีน 0922524009","- ฝ่ายแผน 3 คน เดินแยกขึ้นไปตามเส้นทางที่ไลน์น้อง 3 เส้นทาง ทางละหนึ่งคน
โดยทำการเช็กทางเดิน
- เส้นทางที่ 1 บันไดกิจ → บ้านไอคัท → บ้านไอค๊อกแค๊ก → บ้านไอรอเธอ
- เส้นทางที่ 2 บันไดซีรอกซ์ → บ้านไอน์สไตน์ → บ้านไอแดง → บ้านไอเพื่อน
- เส้นทางที่ 3 บันไดกลาง → บ้านไอจาม → บ้านไอแฟนยู"
103,09:48,09:50,2,PLAN,เช็กความพร้อมของห้องบ้าน,"บ้านไอคัท
บ้านไอค๊อกแค๊ก
บ้านไอรอเธอ
บ้านไอแฟนยู
บ้านไอจาม
บ้านไอเพื่อน
บ้านไอแดง
บ้านไอน์สไตน์",วา 0934427820,"วา 0934427820 
เทน 0851097076 
จีน 0922524009","- ฝ่ายแผน 3 คน เช็กกิจในบ้านตามทางเดินของตัวเองว่าพร้อมไหม
พี่ๆประสานพร้อมไหม แล้วแจ้งลงใน lineแผนแจ้งข่าว ฝ่ายแผน"
104,09:50,09:50,-,PLAN,lineเช็กความพร้อมของห้องบ้าน,line กลุ่มบ้านตนเอง,พั้นซ์ 0924988979,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 1 คน","บ้านที่พร้อมแล้ว
- พี่แผนประจำบ้านlineแจ้งพี่บ้านในlineกลุ่มบ้านของตนเองว่า “อีก 10 นาที    จะไลน์น้องขึ้นไป” 

บ้านที่ยังไม่พร้อม
- พี่แผนประจำบ้านlineแจ้งพี่บ้านในlineกลุ่มบ้านของตนเองว่า “อีก 10 นาที    จะไลน์น้องขึ้นไป พร้อมหรือยัง” ให้พี่บ้านประสานตอบ

"
105,09:55,09:55,-,PLAN,บ้านที่ไม่พร้อมlineเช็กความพร้อมของห้องบ้าน,line กลุ่มบ้านตนเอง,พั้นซ์ 0924988979,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 1 คน","บ้านที่ยังไม่พร้อม
- พี่แผนประจำบ้านlineแจ้งพี่บ้านในlineกลุ่มบ้านของตนเองว่า “อีก 5 นาที    จะไลน์น้องขึ้นไป พร้อมหรือยัง” ให้พี่บ้านประสานตอบ (หากไม่พร้อมอีกจะเป็นการ +process)
"
107,10:00,10:00,-,COOP,พาน้องออกจากห้องประชุม,"ห้องประชุม -> ห้องบ้าน
",ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน A - นัน 0982618286
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน A - นุ่น 0931695291
บ้าน 3 บ้านไอรอเธอ ประสาน A - โชติ 0956735563
บ้าน 4 บ้านไอแฟนยู ประสาน A - ฟ้า 0816443327 
บ้าน 5 บ้านไอจาม ประสาน A - ชีส 0985602909     
บ้าน 6 บ้านไอเพื่อน ประสาน A - เชียร์ 0839986709
บ้าน 7 บ้านไอแดง ประสาน A - น้ำเพชร 0818822595            
บ้าน 8 บ้านไอน์สไตน์ ประสาน A - พิม 0994380809
   ","ทำตามการไลน์แถวของฝ่ายแผน + ต้องเตรียมพี่บ้านช่วยฝ่ายแผนไลน์แถว
ประสานA+พี่บ้าน set 1 พาน้องมาห้องบ้าน"
107,10:00,10:09,9,PLAN,ไลน์น้องบ้าน Set 1 (บ้านไอน์สไตน์ บ้านไอแฟนยู บ้านไอคัท) จากหอประชุมไปห้องบ้าน ,"หอประชุม → บันไดซีรอกซ์ → ห้องบ้านไอน์สไตน์

หอประชุม → บันไดกลาง → ห้องบ้านไอแฟนยู

หอประชุม → ลานเกียร์ → บันไดกิจ →ห้องบ้านไอคัท",พั้นซ์ 0924988979,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 1 คน","- MC เรียกน้องบ้านไอน์สไตน์ บ้านไอแฟนยู บ้านไอคัทให้ลุก
- พี่บ้านฝ่ายแผนนำแถวที่นั่งแถวที่ใกล้ประตูทางออกที่สุดเดิน 
- เมื่อแถวแรกเดินเสร็จแล้วให้พี่บ้านคอยปล่อยแถวต่อไปให้ต่อท้ายแถวเรื่อยๆจนหมด
- เมื่อถึงห้องบ้านแล้วให้พี่บ้านฝ่ายแผนแจ้งใน lineแผนแจ้งข่าว  ฝ่ายแผนว่า ""บ้านไอคัท ถึงห้องบ้านแล้ว""
- เดินแถวเดี่ยวแถวจะยาวหน้าห้อง ไปตัดแถวหน้าห้องบ้านให้ไม่เกะกะบ้านอื่น ก่อนถอดรองเท้า
- บ้านไอน์สไตน์-บ้านไอแฟนยู ออกทางประตูป้ายคณะพร้อมกันแล้วเลี้ยวแยกซ้าย-แถวขวา
- บ้านไอคัท ออกทางประตูตึก 2"
109,10:00,11:45,105,COOP,เปิดบ้าน,"บ้านไอคัท
บ้านไอค๊อกแค๊ก
บ้านไอรอเธอ
บ้านไอแฟนยู
บ้านไอจาม
บ้านไอเพื่อน
บ้านไอแดง
บ้านไอน์สไตน์",ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน A - นัน 0982618286
            ประสาน B - คุณ 0900725783
            ประสาน C - เหวิน 0826391541
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน A - นุ่น 0931695291
            ประสาน B - บูม 0944476075
            ประสาน C - เนม 0988729227
บ้าน 3 บ้านไอรอเธอ ประสาน A - โชติ 0956735563
            ประสาน B - แบมแบม 0917356085
            ประสาน C - ปิ๊ก 0811499279
บ้าน 4 บ้านไอแฟนยู ประสาน A - ฟ้า 0816443327
            ประสาน B - ปัด 0954947193
            ประสาน C - ลูกขุน 0945619146
บ้าน 5 บ้านไอจาม ประสาน A - ชีส 0985602909
            ประสาน B - ปัน 0838410404
            ประสาน C - ข้าวหอม 0899397816
บ้าน 6 บ้านไอเพื่อน ประสาน A - เชียร์ 0839986709
            ประสาน B - เจได 0645954462
            ประสาน C - ปิงปอง 0989838988
บ้าน 7 บ้านไอแดง ประสาน A - น้ำเพชร 0818822595
            ประสาน B - เอมี่ 0885015035
            ประสาน C - มังกร 0918515467
บ้าน 8 บ้านไอน์สไตน์ ประสาน A - พิม 0994380809
            ประสาน B - ปัน 0972987925
            ประสาน C - นุติ 0814139767",
109,10:03,10:12,9,PLAN,ไลน์น้องบ้าน Set 2 (บ้านไอแดง บ้านไอจาม บ้านไอค๊อกแค๊ก) จากหอประชุมไปห้องบ้าน ,"หอประชุม → บันไดซีรอกซ์ → ห้องบ้านไอแดง

หอประชุม → บันไดกลาง → ห้องบ้านไอจาม

หอประชุม → ลานเกียร์ → บันไดกิจ →ห้องบ้านไอค๊อกแค๊ก",พั้นซ์ 0924988979,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 1 คน","- MC เรียกน้องบ้านไอแดง บ้านไอจาม บ้านไอค๊อกแค๊กให้ลุก
- พี่บ้านฝ่ายแผนนำแถวที่นั่งแถวที่ใกล้ประตูทางออกที่สุดเดิน 
- เมื่อแถวแรกเดินเสร็จแล้วให้พี่บ้านคอยปล่อยแถวต่อไปให้ต่อท้ายแถวเรื่อยๆจนหมด
- เมื่อถึงห้องบ้านแล้วให้พี่บ้านฝ่ายแผนแจ้งใน lineแผนแจ้งข่าว  ฝ่ายแผนว่า ‘’บ้านไอคัท ถึงห้องบ้านแล้ว’’
- เดินแถวเดี่ยวแถวจะยาวหน้าห้อง ไปตัดแถวหน้าห้องบ้านให้ไม่เกะกะบ้านอื่น ก่อนถอดรองเท้า
- บ้านไอแดง-บ้านไอจาม ออกทางประตูป้ายคณะพร้อมกันแล้วเลี้ยวแยกซ้าย-แถวขวา
- บ้านไอค๊อกแค๊ก ออกทางประตูตึก 2"
110,10:06,10:08,2,PLAN,พี่รับน้องสายเตรียมไลน์น้องมาสาย ,โต๊ะทะเบียนกลาง,เติ้ล 0897991699,"ปิงปิง 0851119544
อ๋อง 0915553919","- พี่รับน้องมาสายแจ้งใน lineแผนแจ้งข่าว ว่าแต่ละบ้านมีน้องมาสายกี่คน
- พี่รับน้องมาสายแบ่งน้องออกเป็น 2 กลุ่ม กลุ่มแรกประกอบด้วยบ้านไอน์สไตน์ ไอแดง ไอเพื่อน กลุ่มที่สองประกอบด้วยบ้าน บ้านไอคัท ไอค๊อกแค๊ก ไอรอเธอ ไอจาม ไอแฟนยู"
111,10:06,10:15,9,PLAN,ไลน์น้องบ้าน Set 3 (บ้านไอเพื่อน บ้านไอรอเธอ) จากหอประชุมไปห้องบ้าน ,"หอประชุม → บันไดซีรอกซ์ → ห้องบ้านไอเพื่อน

หอประชุม → ลานเกียร์ → บันไดกิจ →ห้องบ้านไอรอเธอ",พั้นซ์ 0924988979,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 1 คน","- MC เรียกน้องบ้านไอเพื่อน บ้านไอรอเธอให้ลุก
- พี่บ้านฝ่ายแผนนำแถวที่นั่งแถวที่ใกล้ประตูทางออกที่สุดเดิน 
- เมื่อแถวแรกเดินเสร็จแล้วให้พี่บ้านคอยปล่อยแถวต่อไปให้ต่อท้ายแถวเรื่อยๆจนหมด
- เมื่อถึงห้องบ้านแล้วให้พี่บ้านฝ่ายแผนแจ้งใน lineแผนแจ้งข่าว  ฝ่ายแผนว่า ‘’บ้านไอคัท ถึงห้องบ้านแล้ว’’
- เดินแถวเดี่ยวแถวจะยาวหน้าห้อง ไปตัดแถวหน้าห้องบ้านให้ไม่เกะกะบ้านอื่น ก่อนถอดรองเท้า
- บ้านไอเพื่อน ออกทางประตูป้ายคณะแล้วเลี้ยวซ้าย
- บ้านไอรอเธอ ออกทางประตูตึก 2"
112,10:08,10:17,9,PLAN,พี่รับน้องสายไลน์น้องมาสายจากทะเบียนไปห้องบ้าน ,"ทะเบียน → บันไดกลาง→ ห้องบ้านไอเพื่อน→บ้านไอแดง→บ้านไอน์สไตน์

ทะเบียน → บันไดกลาง →บ้านไอคัท→บ้านไอค๊อกแค๊ก→บ้านไอรอเธอ→ บันไดกิจ →บ้านไอแฟนยู →บ้านไอจาม",เติ้ล 0897991699,"ปิงปิง 0851119544
อ๋อง 0915553919","
- เมื่อแถวหลักเดินขึ้นบันไดกลางหมด
    - พี่รับน้องสายคนที่1 พาน้องกลุ่มแรกขึ้นบันไดกลาง ชั้น 3 เลี้ยวซ้ายไปส่งน้องบ้านไอเพื่อน→บ้านไอแดง→บ้านไอน์สไตน์
    - พี่รับน้องสายคนที่2 พาน้องกลุ่มที่ 2 ขึ้นบันไดกลาง ชั้น2 เลี้ยวขวาไปส่งน้อง ไอคัท→ไอค๊อกแค๊ก→ไอรอเธอ> ขึ้นบันไดกิจไปชั้น3 > ส่งน้อง ไอแฟนยู →บ้านไอจาม"
113,10:10,10:20,10,PLAN,เช็กห้องน้ำชั้น 2 ,ห้องน้ำชั้น 2,พั้นซ์ 0924988979,"นัท        0917146413
แนน       0613956058
เทน       0851097076
จีน        0880088418
อ๋อง       0915553919
ปิงปิง     0851119544","Note: ห้องน้ำชั้น 2 เป็นห้องน้ำสำหรับการพาน้องเข้าห้องน้ำนอกช่วงพักเข้าห้องน้ำประจำชั่วโมง
- เช็กว่าห้องน้ำเปิดไหม
- ห้องน้ำใช้งานได้ไหม ถ้าพังแจ้งใน lineแผนแจ้งข่าว ฝ่ายแผน (ถ้าห้องน้ำพังให้ผต.แจ้งฝ่ายสถานที่)
- เปิดไฟให้หร้อมใช้งาน
- เมื่อตรวจสอบเสร็จแล้วให้แจ้งใน lineแผนแจ้งข่าว ฝ่ายแผนว่า ""ตรวจสอบห้องน้ำตึก 3 ชั้น 2 เรียบร้อย""
- เมื่อตรวจสอบเสร็จแล้วให้กลับมาที่หน้าห้องประชุม ฝั่งประตูป้ายคณะ"
